map,map_type,split,success_rate,collision_rate,timeout_rate,mean_steps,mean_final_distance
custom_map_01,custom,train,1.0,0.0,0.0,479.0,0.21919763088226318
custom_map_02,custom,train,1.0,0.0,0.0,542.0,0.23897671699523926
custom_map_04,custom,train,1.0,0.0,0.0,314.0,0.23378771543502808
custom_map_05,custom,train,1.0,0.0,0.0,157.0,0.21579289436340332
custom_map_06,custom,train,1.0,0.0,0.0,166.0,0.2022802084684372
custom_map_07,custom,train,1.0,0.0,0.0,251.0,0.22363623976707458
custom_map_09,custom,train,1.0,0.0,0.0,235.0,0.2146107256412506
custom_map_10,custom,train,1.0,0.0,0.0,236.0,0.22992753982543945
custom_map_11,custom,train,1.0,0.0,0.0,192.0,0.23722003400325775
custom_map_12,custom,train,1.0,0.0,0.0,121.0,0.2350132167339325
custom_map_13,custom,train,1.0,0.0,0.0,172.0,0.21194784343242645
custom_map_14,custom,train,1.0,0.0,0.0,226.0,0.2083699256181717
custom_map_16,custom,train,0.0,1.0,0.0,127.0,1.5954277515411377
custom_map_18,custom,train,1.0,0.0,0.0,243.0,0.2292301207780838
custom_map_19,custom,train,1.0,0.0,0.0,199.0,0.21058771014213562
custom_map_20,custom,train,1.0,0.0,0.0,143.0,0.21232299506664276
custom_map_21,custom,train,1.0,0.0,0.0,191.0,0.22083255648612976
custom_map_22,custom,train,1.0,0.0,0.0,206.0,0.23867353796958923
dynamic_open_single,dynamic,train,1.0,0.0,0.0,146.0,0.21898455917835236
custom_map_03,custom,holdout,0.0,1.0,0.0,161.0,7.145363807678223
custom_map_08,custom,holdout,1.0,0.0,0.0,331.0,0.21983332931995392
custom_map_15,custom,holdout,1.0,0.0,0.0,279.0,0.21899627149105072
custom_map_17,custom,holdout,1.0,0.0,0.0,399.0,0.22781828045845032
dynamic_crossing,dynamic,holdout,0.0,1.0,0.0,110.0,5.154624938964844
